Constructed from biom file																																											
OTU ID	107	108	13	146	1851A	1851B	1851C	1852A	1852B	1852C	1853A	1853B	1853C	351	3621A	3621B	3621C	3622A	3622B	3622C	3623A	3623B	3623C	379	64	89	Aip24B	CX	MF1A	MF1B	MF1C	MF2A	MF2B	MF2C	MF3A	MF3B	MF3C	MacPC	RT13	RT146	RT351	RT64	taxonomy
OTU_1319	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	24	0	0	0	0	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Reichenbachiella; uncultured bacterium
OTU_1328	1	1	3	11	4	3	5	8	7	2	7	7	5	5	3	2	1	1	0	2	1	0	2	10	4	0	832	9	4	5	2	4	1	3	5	5	3	34	1	8	5	3	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Cryomorphaceae; Owenweeksia; uncultured bacterium
OTU_1329	0	882	3	12	13	13	17	20	12	16	14	10	22	25	20	21	8	21	18	24	19	18	19	22	7	4	16	3	5	0	1	1	1	0	0	2	0	2	16	2	9	1	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Balneola; uncultured bacterium
OTU_1330	1	5	2	9	1	0	0	1	1	1	1	1	4	9	3	3	1	0	3	2	2	1	2	5	15	1	8	381	13	14	11	14	9	11	11	11	13	8	2	3	5	1	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Fabibacter
OTU_1332	1	1	0	276	1	0	1	2	1	0	0	0	1	2	0	1	0	1	2	0	1	3	1	1	0	2	5	3	4	2	0	0	1	0	2	1	3	3	1	3	2	1	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Cryomorphaceae; Lishizhenia
OTU_1335	0	0	1	23	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	52	0	1	1	4	13	10	10	15	15	23	3	0	0	3	0	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Winogradskyella
OTU_1356	35	12	41	72	184	161	237	763	1028	1040	1282	1392	2164	74	11	18	16	17	28	15	29	13	26	4155	22	12	132	91	17	13	18	18	20	25	17	28	21	153	18	19	31	19	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Cryomorphaceae; Owenweeksia; uncultured organism
OTU_1361	49	79	874	1339	14	10	15	14	18	25	17	17	35	711	129	150	130	231	232	202	168	141	150	73	447	24	275	66	38	20	33	21	22	29	20	35	31	81	227	230	1301	256	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Marinoscillum; uncultured bacterium
OTU_1368	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Fabibacter
OTU_1374	106	45	37	127	17	19	16	18	15	23	28	23	36	1785	180	205	173	382	485	431	603	467	484	74	59	30	77	66	25	15	21	33	21	22	11	22	32	64	22	26	116	25	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Marinoscillum
OTU_1377	42	974	61	1905	14	11	8	17	15	15	24	21	38	457	31	20	22	24	34	30	32	31	39	86	450	18	829	49	46	25	33	35	32	40	30	47	32	80	36	109	1698	27	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Marinoscillum; Marinoscillum furvescens
OTU_138	11	8	9	7	6	6	0	1	1	10	7	3	5	8	5	7	6	3	4	7	3	9	9	1692	4	14	14	18	13	14	8	2	8	12	12	12	12	142	9	10	12	6	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; uncultured
OTU_1387	0	1	0	52	2	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	2	1	0	2	4	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Winogradskyella
OTU_1394	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	0	1	8	2	5	4	3	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Balneola
OTU_14	209	274	349	361	3721	3360	4472	3932	4432	5377	4926	3874	7038	877	325	363	216	224	233	277	328	259	366	615	499	614	466	315	1382	1448	1245	1281	1317	1686	1492	2117	2140	1843	506	106	234	103	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Sulfitobacter
OTU_1405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Fabibacter
OTU_1415	19	4	4	28	8	9	5	8	7	6	5	5	7	137	11	6	5	5	9	11	3	10	10	13	6	8	17	24	24	20	25	27	26	23	7	37	26	2435	7	12	19	12	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Reichenbachiella; uncultured bacterium
OTU_1416	43	187	165	89	67	76	98	82	100	83	120	140	217	183	29	32	31	26	37	37	45	42	44	89	405	246	58	21	34	22	30	20	23	23	13	30	18	55	79	55	77	42	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Ekhidna
OTU_1417	7	11	15	778	1	5	2	3	4	5	4	3	5	41	4	4	5	11	4	12	12	11	10	175	11	3	21	14	11	4	6	8	3	7	6	5	7	18	8	10	38	9	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Marinoscillum
OTU_1418	576	6	6	7	1	4	1	1	2	4	6	6	5	65	9	7	7	19	17	14	20	24	15	8	13	5	10	0	1	0	5	3	2	5	2	4	2	12	2	7	16	2	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae
OTU_1419	1	3	5	8	0	2	3	0	0	2	0	1	2	6	1	1	0	3	2	1	2	5	2	189	6	2	54	11	3	1	1	1	1	4	0	2	3	6	1	3	11	1	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Marinoscillum
OTU_1420	0	0	0	4	0	1	0	0	0	1	1	0	1	145	0	1	0	1	1	1	1	0	0	1	1	1	4	4	2	0	0	1	0	0	3	0	0	5	0	0	0	0	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Flexithrix; Flexithrix dorotheae
OTU_1422	1	33	3	4	0	0	1	0	0	0	0	0	3	4	0	1	0	1	0	2	0	0	1	6	4	91	4	5	1	1	1	0	1	1	0	2	1	2	0	8	3	0	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Marinoscillum
OTU_1423	1	1	0	3	1	1	4	3	0	3	3	3	9	3	0	2	0	1	1	0	0	0	0	0	2	61	1	1	0	0	1	1	0	1	0	1	1	1	0	0	1	0	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Ekhidna
OTU_1436	1	0	0	26	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	157	0	2	0	0	2	1	2	0	0	1	1	0	1	0	1	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Aquibacter; uncultured bacterium
OTU_1453	6	3	0	2	0	1	0	0	0	1	1	1	1	49	0	0	1	3	0	2	1	2	3	4	2	1	2	1	3	0	1	0	1	1	1	0	2	1	0	1	1	1	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Reichenbachiella
OTU_1455	1	2	1	8	1	0	0	1	0	0	0	1	0	9	1	1	1	1	1	2	0	1	1	1	1	1	4	0	2	2	0	1	1	2	3	0	2	2	1	1	9	0	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Marinoscillum
OTU_1466	1	0	1	0	3	4	3	5	5	5	6	6	10	1	8	3	2	3	6	4	6	4	5	1	4	0	0	0	2	2	0	3	6	4	1	10	7	1	0	0	0	0	Bacteria; Planctomycetes; Phycisphaerae; Phycisphaerales; Phycisphaeraceae; SM1A02; uncultured bacterium
OTU_1467	1	0	1	4	3	4	2	6	8	12	14	22	24	3	0	1	0	2	1	0	3	0	1	33	0	0	4	1	1	0	1	0	0	0	0	0	2	3	3	1	0	2	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Cryomorphaceae; Owenweeksia; uncultured organism
OTU_1473	0	0	0	1	1	0	0	0	1	2	2	1	2	1	0	0	1	1	0	1	2	1	2	45	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Cryomorphaceae; Owenweeksia
OTU_1475	0	0	0	5	1	0	0	0	0	0	0	0	1	4	1	0	1	0	0	1	2	1	1	0	41	0	3	0	0	0	0	0	0	1	0	0	1	0	1	0	2	0	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; uncultured
OTU_1480	1	1	0	3	1	0	0	0	1	1	1	2	2	6	0	0	0	1	1	5	2	3	1	6	0	1	7	8	2	2	1	1	4	2	1	6	1	305	0	1	3	1	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; uncultured; uncultured Cytophaga sp.
OTU_1489	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Cloacibacterium; uncultured bacterium
OTU_15	3035	4636	3533	6757	2713	2604	2737	2454	2516	2977	2915	2475	4064	29684	5383	5488	3907	3694	3300	3986	4989	4379	5332	3782	8084	13181	1816	1852	6738	7080	5959	5351	4285	5881	5152	6661	6596	11481	819	311	900	411	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; uncultured
OTU_1501	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Balneola
OTU_1505	29	38	39	41	63	54	70	34	42	60	35	32	57	4	57	64	36	20	57	33	36	25	33	24	57	37	11	3	54	48	47	33	47	50	34	40	33	10	18	31	1	38	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter; uncultured bacterium
OTU_1506	0	4	0	6	4	12	9	5	8	8	3	3	12	7	59	62	47	50	75	83	78	63	57	11	3	3	5	2	1	0	0	0	0	1	3	3	3	1	11	2	7	2	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Balneola; uncultured bacterium
OTU_1510	0	0	0	0	1	1	2	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter
OTU_1513	1	4	2	70	61	85	70	63	68	82	54	45	87	19	18	14	8	12	17	18	21	23	13	17	21	15	54	3	2	2	0	4	1	3	2	4	0	3	5	2	48	8	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Balneola
OTU_1514	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter
OTU_1515	0	0	0	1	2	1	1	0	0	3	1	3	3	0	2	1	1	1	2	2	1	0	1	0	3	0	1	0	1	0	0	1	0	1	1	2	2	1	2	0	1	1	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Labrenzia
OTU_1516	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; Planctomycetes; Phycisphaerae; Phycisphaerales; Phycisphaeraceae; SM1A02; uncultured bacterium
OTU_1526	1	0	6	0	0	1	1	1	2	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	2	1	1	4	1	2	0	1	1	1	1	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhodobiaceae; uncultured
OTU_1529	5	6	6	9	8	15	13	12	6	13	11	11	13	1	16	19	12	3	14	7	9	5	4	9	12	13	1	1	17	8	14	11	5	12	7	12	13	2	6	6	1	6	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter; uncultured bacterium
OTU_153	56	62	79	55	58	52	69	71	41	71	50	60	79	123	38	56	43	29	35	37	44	36	36	137	125	95	123	411	1636	1411	1186	1129	1135	1308	988	1461	1256	157	72	43	87	58	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius
OTU_1531	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	Unassigned
OTU_154	1	0	0	0	0	0	2	0	1	0	0	0	2	1	0	1	1	0	0	0	0	1	0	3	0	0	0	0	1	0	2	0	2	1	0	0	0	85	1	1	0	1	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; uncultured; uncultured alpha proteobacterium
OTU_155	1	1	3	32	1	4	3	0	1	3	3	5	6	0	0	1	0	0	1	0	1	0	0	5	0	0	1	13	1	0	1	1	0	1	2	3	1	6	1	25	0	10	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Pelagibius; uncultured bacterium
OTU_157	20	7	0	11	0	0	0	0	0	0	1	1	1	4	0	0	1	1	0	0	0	1	0	2	0	13	1	3	0	0	0	1	0	2	1	2	3	4	2	8	4	16	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Nisaea
OTU_17	0	1	0	0	0	1	0	0	2	3	0	1	2	1	2	1	0	1	0	2	2	1	1	1	0	2	0	0	2	1	2	1	0	2	2	0	1	0	0	0	2	0	Bacteria; Planctomycetes; Phycisphaerae; Phycisphaerales; Phycisphaeraceae; SM1A02; uncultured bacterium
OTU_173	0	2	0	0	2	0	5	2	0	6	3	5	5	0	0	0	0	0	0	0	1	0	2	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	1	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhodobiaceae
OTU_180	37	25	27	45	22	25	23	14	24	25	20	16	33	55	51	43	19	28	48	45	49	45	48	598	18	21	25	238	204	176	108	141	140	206	277	421	289	226	29	1090	41	1184	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Hoeflea
OTU_19	155	360	175	18174	19922	20483	23363	19328	21941	25037	17889	16667	29013	2488	1945	2113	1418	1676	2674	2366	2757	2517	2286	3272	12414	3028	12469	1639	244	139	169	134	140	181	158	209	165	210	1347	507	15353	326	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Balneola
OTU_192	2	0	2	0	0	0	2	1	1	2	3	0	4	0	5	1	1	0	2	3	1	3	1	5	5	0	1	0	2	3	4	2	0	2	2	4	1	0	1	0	1	1	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter; uncultured bacterium
