ko00561	ko00564	ko04972	ko05111	ko02030	ko02060	ko04080	ko01054	ko00901	ko00300	ko00360	ko00906	ko00190	ko04961	ko01053	ko04115	ko00500	ko02040	ko03070	ko00061	ko00062	ko02025	ko01051	ko04974	ko04973	ko02026
						K04267						K02275													
						K04268						K02262													
						K04269						K02256													
						K04270						K02261													
						K04271						K02263													
						K04272						K02264													
						K04273						K02265													
						K04274						K02266													
						K04299						K02267													
						K08386						K02268													
						K08387						K02269													
						K08388						K02270													
						K04275						K02271													
						K04276						K02272													
						K04277						K02273													
						K04278						K02258													
						K04279						K02259													
						K04280						K02260													
						K04282						K00404													
						K04284						K00405													
						K08374						K15862													
						K04285						K00407													
						K04286						K00406													
						K04287						K02829													
						K04288						K02828													
						K04289						K02827													
						K04290						K02826													
						K04291						K02299													
						K04292						K02298													
						K04293						K02297													
						K04294						K00425													
						K04295						K00426													
						K04296						K00424													
						K04297						K22501													
						K04303						K02111													
						K04306						K02112													
						K04307						K02115													
						K08397						K02113													
						K08398						K02114													
						K04322						K02108													
						K04323						K02109													
						K04576						K02110													
						K04577						K02132													
						K04578						K02133													
						K04579						K02136													
						K04580						K02134													
						K04581						K02135													
						K04582						K02137													
						K04583						K02126													
						K04584						K02127													
						K04585						K02128													
						K04586						K02138													
						K04587						K02129													
						K04588						K01549													
						K04589						K02130													
						K04590						K02139													
						K04603						K02140													
						K04605						K02131													
						K04607						K02141													
						K04604						K02142													
						K04608						K02143													
						K04615						K02125													
						K04617						K02117													
						K05266						K02118													
						K05268						K02119													
						K08377						K02120													
						K04314						K02121													
						K05208						K02122													
						K05209						K02107													
						K05210						K02123													
						K05211						K02124													
						K05212						K02145													
						K05213						K02147													
						K05214						K02148													
						K05175						K02149													
						K05181						K02150													
						K05184						K02151													
						K05185						K02152													
						K05186						K02144													
						K05189						K02154													
						K05190						K02155													
						K05192						K03661													
						K04803						K02146													
						K04804						K02153													
						K04805						K03662													
						K04806						K01535													
						K04807						K01541													
						K04808						K01542													
						K04809						K01543													
						K04810						K01544													
						K04811						K01507													
						K04812						K15986													
						K04813						K06019													
						K04814						K15987													
						K04815						K11725													
						K04816						K11726													
						K04817						K00937													
						K04818						K22468													
						K05215																			
						K05216																			
						K05217																			
						K05218																			
						K05219																			
						K05220																			
						K05221																			
						K08522																			
						K08521																			
						K05197																			
						K05198																			
						K05199																			
						K05200																			
						K05201																			
						K05202																			
						K05203																			
						K05204																			
						K05205																			
						K05206																			
						K05207																			
						K05193																			
						K05194																			
						K05195																			
						K05196																			
						K05222																			
						K05770																			
						K05771																			
						K05438																			
						K05080																			
						K05547																			
						K08362																			
						K05424																			
						K05062																			
						K05439																			
						K05081																			
