OTUID	X107	X108	X13	X146	X1851A	X1851B	X1851C	X1852A	X1852B	X1852C	X1853A	X1853B	X1853C	X351	X3621A	X3621B	X3621C	X3622A	X3622B	X3622C	X3623A	X3623B	X3623C	X379	X64	X89	Aip24B	CX	MF1A	MF1B	MF1C	MF2A	MF2B	MF2C	MF3A	MF3B	MF3C	MacPC	RT13	RT146	RT351	RT64
ko02030	902880.1167	978123.8111	1039512.394	639207.4611	857958.6333	817855.1611	850127.4889	635190.0444	668023.2722	861034.9389	695418.1389	572952.1667	971844.1667	363003.6389	994632.9444	991744.7222	683610.0611	686420.8444	925986.9444	938807.3167	801383.1111	737963.4333	683690.3111	579974.55	651035.3889	1253002.35	719499.6944	858758.6444	1471533.989	1115504.9	1016887.683	896166.9889	946553.4722	1208167.322	925756.6722	1355393.761	1197010.706	608588.5722	895624.8444	689902.6167	772112.3611	642285.6833
ko02040	1064867.561	1155018.578	1305999.1	737909.4444	945379.2361	905128.8722	925679.5111	704981.5944	734313.5833	952783.3639	790611.1778	655143.1778	1105709.464	244320.1306	1111823.356	1109020.181	765762.0528	776272.8472	1063063.525	1079336.625	912223.6056	843295.7306	767696.1639	722385.6528	668490.2806	1396447.589	853648.8528	1034822.55	1820893.719	1377147.014	1250285.997	1132277.336	1206624.658	1534752.508	1167431.719	1724775.567	1529692.575	865561.9528	1102171.472	804558.7972	927364.6778	751208.7
ko02060	86980.03889	95790.19444	105723.1056	65810.96111	101637.2889	96634.05	104891.8	74578.54444	81845.34444	103516.3389	85692.66667	69943.52222	116577.2278	62030.17222	110108.1667	108704.1722	75034.12778	71514.83333	93769.52222	90679.58333	80280.65	73744.21111	70574.68333	50979.05556	85268.43889	126895.9444	49060.27778	73008.52222	125676.6833	97775.02778	88596.97778	83877.45	84358.51111	107488.0611	83211.01667	125555.8889	111332.9111	86515.58333	70201.91667	70319.67778	66690.71111	66375.86667
ko03008	41207.19167	40705.81667	50881.88333	44702.86667	47434.20833	45225.81667	49638.93333	33747.83333	37634.825	47103.10833	38410.55	31287.35	51166.90833	23524.73333	51262.61667	50031.96667	34535.38333	31419.34167	41586.95833	38407.94167	33865.45	31041.96667	29940.25833	43544.5	43936.80833	54674.15	69764.19167	26042.95	86856.61667	66941.875	63441.04167	51346.775	55208.575	69135.18333	51877.375	74161.91667	67165.25833	47627.4	41060.00833	36086.36667	23358.53333	35835.75833
ko03010	1755010.667	1724815.772	2167063.839	2013673.639	1559935.092	1489524.739	1584326.478	1246219.789	1324983.211	1677629.503	1459718.111	1215397.6	2042377.492	1268454.969	1717509.172	1721921.686	1189850.931	1186455.731	1559747.714	1573231.492	1400800.406	1289584.025	1225145.081	1401803.708	1288484.719	2264392.817	3464612.131	1461791.822	2887758.369	2271463.375	2063441.975	1891394.353	1967863.869	2504288.753	1936883.269	2818700.822	2551565.703	1923275.336	1667161.989	1367756.442	1406684.022	1335818.5
ko03013	35026.28889	27206.61111	39638.22222	50267.19444	43942.57222	41885.48333	47614.43333	28171.84444	33693.57778	41296.47222	32423.48333	26001.02222	40738.26111	7865.355556	46088.81667	43594.17222	30107.82778	24366.95	32560.00556	25771.96667	22546.11667	20539.57778	20237.55	43638.77222	44819.05556	34037.31111	98476.47778	5811.505556	73567.01667	55373.54444	55092.21111	40254.91667	44595.61111	54774.02778	39590.78333	55864.90556	50840.21111	26062.6	27589.61667	31908.19444	5275.194444	31151.83333
ko03018	443378.9167	427014.375	529611.6917	504251.0083	396376.6583	378200.175	404046.9583	314688.5667	336736.0417	425519.7	369249.9583	306870.75	515444.125	324639.6167	434086.725	434464.625	300246.5833	297704.9667	390319.8917	391474.2417	349563.8417	321519.3167	306073.1	326768.9	328311.85	557063.4167	805683.2583	357190.9583	670981.975	529357.0833	478086.1833	447642.6333	460974.5417	587785.3417	455310.1167	668632.5167	604313.8833	471064.2417	388497	341968.325	344445.6333	330531.8167
ko03020	110443.8722	111245.7944	137830.8389	119333.4944	100675.8389	96151.9	102299.6	80808.24444	85776.51111	108686.1556	95060.41667	79054.47222	132933.3778	84752.42222	110408.7667	110837.7389	76596.16111	76477.18333	100359.1222	101452.8667	90671.36667	83479.57778	79375.88333	86238.07222	82417.28889	146529.6111	195912.1111	95237.83889	182997.4167	144621.3111	130557.5611	121553.0167	125792.6611	160241.8444	124067.7333	181608.9222	164336.6778	126414.7167	105344.0167	85813.49444	89727.99444	84171.11667
ko03030	469743.65	449577.925	569617.625	521937.0583	412486.825	393576.525	418987.375	324242.5	347134.125	439627.6333	379250.4583	316241.8167	529772.525	291430.9333	454796.325	454191.1083	313927.9333	311167.2167	410715.125	410724.7417	363105.7083	334508.6667	316362.1667	342545.75	340786.1167	575664.0667	896586.4917	380622.025	705387.3583	551941.75	500929.9667	467232.15	483387.7417	615148.7583	475653.1333	698075.9333	629559.9333	485939.1417	412531.1	375368.2583	370005.9	365768.3667
ko03050	18	13.5	507	19.5	10.5	16.5	25.5	25.5	13.5	25.5	22.5	37.5	40.5	7.5	25.5	28.5	24	9	13.5	19.5	24	22.5	21	24	552	15	15	15	18	21	24	18	16.5	25.5	21	19.5	12	51	151.5	4959	234	7378.5
ko03060	508865.6139	508857.4444	641538.6222	570336.9611	463675.1306	442983.2667	471851.2333	370570.7611	393614.8361	498386.0306	434879.05	361638.0889	606780.1028	379782.7556	508558.6333	509816.5222	352222.5444	349911.375	459872.3472	462899.9917	413022.5333	380370.8111	361991.3083	427474.1056	385284.5139	673362.4778	1001920.469	431244.7722	897886.6333	706919.7361	644094.1528	581934.7083	608477.8194	773060.9444	596272.1417	865033.1222	783613.2194	573737.4167	506285.2917	395177.5444	398172.5611	387523.4917
ko03070	770885.7889	803754.8167	932224.7944	875538.65	898977.2389	854606.8389	948892.8778	733053.2667	793996.2056	986678.8	858815.3778	704141.9556	1186730.444	1230500.983	923899.8556	928735.1167	640608.45	614530.4389	764501.1944	760985.7	724005.0389	659399.1444	665032.5222	742643.7889	828211.5333	1261609.811	1081737.017	636417.7778	1519918.828	1251021.811	1131761.094	1013582.378	1028756.372	1310140.206	1025597.211	1470970.911	1353845.206	1201362.994	755409.5556	553505.1778	566417.8333	542572.2167
ko03320	184820.2361	193693.8722	230970.4111	165336.8556	176455.7944	168326.9667	179508.0833	139399.2056	148009.2472	188274.9944	163148.25	134728.5611	227135.2722	145881.4361	193597.0167	194114.6194	134081.8639	133887.0333	175206.9111	176950.1	157798.3167	145261.1639	138194.7	118699.8528	143337.1444	252090.3889	159299.9389	168500.3444	283915.3083	223287.8222	201297.4722	189005.4833	193422.2722	246894.3306	192282.6667	283444.2111	253744.2889	180670.4083	171317.4417	153278.5139	143024.7556	154936.4083
ko03410	342482.1694	327525.0722	406197.1778	349755.5889	312320.5528	297875.3333	320084.55	246818.1389	264564.1306	334048.8861	288569.35	239422.8278	401144.2139	263433.9778	339043.5	339060.5111	234206.9889	230357.7583	300660.2194	300229.1583	269178.5167	247577.8222	237373.675	256272.3778	266867.4361	437828.6722	542270.4972	268380.5111	545428.1	431399.9806	391950.3806	358291.5083	370447.2972	471532.7056	364706.3083	532137.2111	481543.1972	370469.55	306279.6583	273973.1222	255885.9556	273932.5417
ko03420	231863.5583	219691.7583	274832.325	258410.075	196897.9333	187845.7083	199785.3083	159513.0167	170007.2333	215064.1583	188847.525	157769.4667	265953.2833	171743.3	215490.325	216559.9583	149823.7167	150766.575	197168.9833	200108.1833	179099.7583	164818.5833	156567.7583	145141.0833	158646.5417	281961.6333	450275.1167	189547.6917	307716.1917	245431.675	217040.5417	218366.5417	220439.2167	282423.6083	220686.1083	329140.7667	297957.7083	244368.975	186486.4917	185176.4583	184515.2333	182893.4083
ko03430	528025.2028	503220.8639	642288.1028	583774.0639	475670.4861	454006.2083	485798.0917	370564.5389	398567.7889	503833.7278	433726.8917	360657.7111	601939.5972	333398.0694	520972.3583	518976.6444	358755.1139	351484.75	463456.3028	458841.825	406787.1417	374635.5972	355705.1	404316.2861	400540.7444	647949.9889	977120.4806	413529.9861	841656.7167	660217.8889	601552.9222	552600.4333	574520.9639	729311.1389	561073.4333	821598.0611	743159.5389	568887.85	470339.2083	416648.6889	399964.0056	404489.9583
ko03440	622361.0167	599339.8167	766317.2333	706850.2333	571281.075	545178.0333	584425.2833	442936.9833	477846.7667	603672.4083	519643.9167	431575.1167	719498.125	386975.8917	625542.95	622179.7917	429950.8417	419786.5083	553900.0417	546115.375	483791.4167	445592.3583	422763.0917	488689.775	481026.5917	768091.7833	1276435.875	488272.4833	982082.925	765655.525	702062.8917	637619.0083	663789.3917	842068.6083	648451.3583	947581.7833	854065.8917	668505.7583	558800.55	498810.7083	464750	485304.5667
ko03450	18932	9693.716667	19969.8	13916.11667	11203.18333	10755.43333	12694.95	12149.5	12875.08333	15788.6	16764.9	14040.31667	23398.21667	33392.7	8893.466667	9663.266667	6662.766667	6603.183333	6944.783333	7523.466667	9302.45	8555.9	9264.25	8539.466667	11432.98333	17329.48333	4585.816667	9163.15	15232.75	15063.75	12514.03333	14557.68333	13081.25	17283.6	14876.25	22367.3	20484.26667	21874.26667	9237.983333	16050.53333	7901.316667	18902.2
ko04010	0.333333333	0.333333333	0.5	0.166666667	0.833333333	1	1	0.833333333	0.5	1.833333333	1	0.666666667	1.166666667	0.166666667	0.833333333	0.833333333	0.166666667	0.333333333	0.5	0.5	0.666666667	0.166666667	0.5	0	0.5	0.333333333	0.5	0.666666667	0.5	0.333333333	0.333333333	0.833333333	0.166666667	0.5	0.333333333	0.833333333	0.5	0.333333333	0.833333333	0.5	0	0.333333333
ko04011	4375.283333	2891.416667	7132.283333	4418.766667	4564.666667	4283.183333	5201.816667	4951.783333	5381.783333	6383.966667	6156.866667	5247.866667	8918.6	16166.53333	3736.716667	4008.5	2767.666667	2706.216667	2609.35	2950.483333	3674.683333	3256.15	3810.65	5381.133333	5305.3	7617.183333	2906.466667	4740.116667	6862.916667	6851.566667	5871.333333	6241.95	5648.816667	7277.3	6242.016667	8532.85	8385.4	16417.78333	3300.35	5212.366667	3049.483333	5595.533333
ko04013	29314.96389	28735.39444	36444.67222	34257.56111	26333.89722	25154.26667	26825	21014.22778	22371.26944	28281.91389	24667.83333	20529.02222	34409.88611	21474.98889	28867.95	28900.20556	19976.56111	19791.90833	26002.28056	26092.85833	23283.63333	21441.89444	20413.49167	25333.17222	21893.94722	37963.11111	60969.15278	23992.92222	51296.18333	40336.80278	36868.16944	33082.69167	34676.73611	44001.19444	33904.85833	49101.37222	44529.00278	38638.68333	28809.825	21064.27778	22731.47778	19770.39167
ko04014	19	6.5	23	43.5	95.5	84	122	388.5	521.5	527	651.5	710.5	1096.5	41	7	10.5	8.5	10	14.5	8.5	16.5	6.5	14.5	2099	13	6	484	50.5	12	9	11	11	10.5	14	12	16.5	15	95	11	14	18	12.5
ko04016	92493.04722	92948.92778	113102.8389	97401.24444	93539.85556	88971.65	96710.7	74126.17778	79609.51944	100075.5556	85437.8	70590.93889	118652.7611	93137.34722	100330.7333	100449.5139	69240.58611	67624.5	86972.48889	86981.53333	78962.41667	72371.93611	70590.15	78401.58056	82313.88889	132175.7444	145761.6611	80835.20556	162988.5417	129398.5444	118831.8611	103274.3333	106894.6778	135890.9694	105671.8667	151185.2556	136621.0111	114877.5583	89896.89167	71736.28611	66573.14444	69070.54167
ko04020	1	1	0	1.5	8	8	8.5	12.5	16.5	13.5	10	15	20.5	2.5	0.5	2.5	1.5	0.5	1.5	0	1	1.5	0	47	0.5	0.5	0	4.5	0	0.5	1	1	0.5	0.5	0	0.5	1	2	0	0	0.5	0
ko04024	1405.15	604.95	2753.85	2212.75	50.75	46.5	48.4	52.5	55.9	67	65.5	70.45	137.5	697.45	114.7	112.25	103.75	177.95	179	160.4	144	131.5	128.5	302.45	480.5	40.5	841.5	100.85	283.15	269.4	291.95	632.25	602.95	763.1	665.45	851.15	958.5	775.1	612.95	1559.45	1570.75	1268.2
ko04066	153953.6028	152807.4556	180022.4444	179247.5056	133283.6944	126948.0667	134459.8	110776.4389	116655.7306	147690.7611	129821.95	108462.3778	184823.3056	139421.2694	146205.6833	148107.0528	102302.5972	104951.2833	136175.7278	141431.2667	127276.0667	116946.4306	111721.4	97216.03611	104269.6111	204651.0722	334594.6889	138310.1944	209179.4083	168025.7889	147541.3222	147451.55	148082.7722	190733.1472	150051.3667	222021.4778	201033.4889	168172.1417	131497.2083	111961.1139	126152.4056	106703.8583
ko04068	33702.99722	31638.61111	43752.75556	38687.52778	30907.16389	29447.55	32036.01667	25975.51111	27759.80278	34680.48056	30836.6	25791.78889	43347.78611	37650.97222	32634.46667	32938.05556	22770.57778	22513.225	28634.83056	29071.14167	26988.51667	24732.19444	24255.14167	31574.35556	27385.64722	45593.69444	63888.51944	28757.43889	58173.85	47203.86944	42753.20278	39334.24167	40337.05278	51295.84444	40162.875	57650.02222	52927.00278	55233.81667	32166.325	27938.09444	25870.36111	27833.375
ko04070	143549.5417	150465.5833	170629.55	122107.85	113797.55	108805.4833	110718.0333	94005.95	95822.975	123739.2	107591.1833	90123.08333	155032.3	89978.69167	132296.4333	134686.2083	92933.50833	98707.55	131764.9333	140058.0333	122052.95	112574.3417	104354.8	87588.49167	79874.46667	191896.3833	179644.4667	141552.5167	209264.5417	162959.5667	143842.0167	138223.6167	143003.9	184788.4083	143970.4833	212437.15	189629.3667	133756.025	141280.0083	107206.3583	140287.6833	102630.4083
ko04071	41	26	11.5	25.5	40.25	34.75	34.75	31	25	30	22.5	26.75	49.5	19.75	44.25	35.25	33.5	24.75	23.75	25.75	28.25	26.75	22.5	43.25	8.75	29	19.25	18	65.5	57.75	55.5	40.5	52.75	41.75	22.75	57	63	4470.25	23.25	25.75	13.25	26.25
ko04072	6594.1	3800.95	5716.666667	17897.28333	5494.341667	5245.316667	6152.95	5829.133333	6424.9	7524.225	7415.866667	6248.066667	10649.225	18802.49167	4770.75	5027.375	3514.241667	3349.108333	3531.641667	3675.658333	4491.6	3941.541667	4480.058333	9333.258333	6032.775	8383.3	42489.75833	2768.833333	13161.45833	12477.875	10247.00833	11525.39167	11203.10833	14374.34167	11210.34167	16482.05	16382.25833	19818.375	3576.866667	3285.641667	5285.566667	3067.933333
ko04080	24103.775	20409.71667	25718.45	24072.56667	13292.78333	12728.53333	12788.63333	12775.41667	12639.44167	16345.11667	15761.88333	13284.25	23257.6	19862.14167	14988.38333	15769.325	10895.99167	12468.4	16170.98333	18227.66667	16576.23333	15318.34167	14313.25	6111.925	7380.216667	26146.05	49741.13333	20522.23333	19523.60833	16108.98333	13080.6	16442.78333	15761.11667	20846.34167	17166.7	26028.41667	23452.53333	11906.84167	17459.875	14150.64167	17509.46667	13038.475
